cluster;nbAircraft;uncertainty;clusterId;iterations;rdOff1;rdOff2;InitialConfigurationCost;AlgorithmConfigurationCost;ConfigurationsDistance
cluster_10ac_1err_7;10;1;7;2;6;3;24;37;4;
cluster_10ac_1err_7;10;1;7;4;6;5;24;46;9;
cluster_10ac_1err_7;10;1;7;1;7;3;24;28;3;
cluster_10ac_1err_7;10;1;7;2;7;2;24;36;10;
cluster_10ac_1err_7;10;1;7;1;8;5;24;34;5;
cluster_10ac_1err_7;10;1;7;3;8;3;24;25;2;
cluster_10ac_1err_7;10;1;7;0;9;2;24;48;11;
cluster_10ac_1err_8;10;1;8;0;0;8;48;56;7;
cluster_10ac_1err_8;10;1;8;1;0;8;48;61;8;
cluster_10ac_1err_8;10;1;8;2;0;1;48;61;8;
cluster_10ac_1err_8;10;1;8;3;0;9;48;72;9;
cluster_10ac_1err_8;10;1;8;4;0;7;48;63;16;
cluster_10ac_1err_8;10;1;8;1;1;0;48;63;8;
cluster_10ac_1err_8;10;1;8;4;1;3;48;63;14;
cluster_10ac_1err_8;10;1;8;2;2;7;48;81;11;
cluster_10ac_1err_8;10;1;8;3;2;7;48;81;11;
cluster_10ac_1err_8;10;1;8;0;3;1;48;94;16;
cluster_10ac_1err_8;10;1;8;1;3;1;48;75;16;
cluster_10ac_1err_8;10;1;8;2;3;7;48;90;23;
cluster_10ac_1err_8;10;1;8;3;3;0;48;67;15;
cluster_10ac_1err_8;10;1;8;4;3;5;48;84;13;
cluster_10ac_1err_8;10;1;8;0;5;7;48;58;9;
cluster_10ac_1err_8;10;1;8;2;5;7;48;76;11;
cluster_10ac_1err_8;10;1;8;1;6;3;48;75;16;
cluster_10ac_1err_8;10;1;8;0;7;0;48;91;19;
cluster_10ac_1err_8;10;1;8;1;7;5;48;76;11;
cluster_10ac_1err_8;10;1;8;2;7;9;48;72;11;
cluster_10ac_1err_8;10;1;8;3;7;0;48;86;18;
cluster_10ac_1err_8;10;1;8;4;7;9;48;81;11;
cluster_10ac_1err_8;10;1;8;3;8;3;48;84;16;
cluster_10ac_1err_8;10;1;8;4;8;3;48;77;13;
cluster_10ac_1err_8;10;1;8;3;9;7;48;76;11;
cluster_10ac_1err_9;10;1;9;0;0;1;27;41;8;
cluster_10ac_1err_9;10;1;9;1;0;1;27;43;8;
cluster_10ac_1err_9;10;1;9;2;0;7;27;95;21;
cluster_10ac_1err_9;10;1;9;3;0;8;27;2519;3;
cluster_10ac_1err_9;10;1;9;4;0;7;27;57;18;
cluster_10ac_1err_9;10;1;9;3;2;0;27;36;7;
cluster_10ac_1err_9;10;1;9;0;3;7;27;40;11;
cluster_10ac_1err_9;10;1;9;1;3;7;27;58;11;
cluster_10ac_1err_9;10;1;9;3;3;0;27;48;8;
cluster_10ac_1err_9;10;1;9;1;5;7;27;37;10;
cluster_10ac_1err_9;10;1;9;0;6;7;27;2508;4;
cluster_10ac_1err_9;10;1;9;3;6;0;27;43;8;
cluster_10ac_1err_9;10;1;9;0;7;5;27;53;11;
cluster_10ac_1err_9;10;1;9;1;7;2;27;37;10;
cluster_10ac_1err_9;10;1;9;2;7;5;27;42;10;
cluster_10ac_1err_9;10;1;9;3;7;0;27;62;18;
cluster_10ac_1err_9;10;1;9;4;7;0;27;81;20;
cluster_10ac_2err_0;10;2;0;3;0;4;8;22;8;
cluster_10ac_2err_0;10;2;0;2;1;4;8;44;11;
cluster_10ac_2err_0;10;2;0;0;4;9;8;34;9;
cluster_10ac_2err_0;10;2;0;1;4;2;8;2500;3;
cluster_10ac_2err_0;10;2;0;2;4;2;8;2500;3;
cluster_10ac_2err_0;10;2;0;3;4;6;8;22;8;
cluster_10ac_2err_0;10;2;0;4;4;3;8;50;10;
cluster_10ac_2err_0;10;2;0;4;7;4;8;28;10;
cluster_10ac_2err_0;10;2;0;0;8;4;8;42;9;
cluster_10ac_2err_1;10;2;1;0;0;3;52;2512;8;
cluster_10ac_2err_1;10;2;1;1;0;7;52;2512;8;
cluster_10ac_2err_1;10;2;1;2;0;9;52;2512;8;
cluster_10ac_2err_1;10;2;1;3;0;4;52;2512;8;
cluster_10ac_2err_1;10;2;1;4;0;7;52;2512;8;
cluster_10ac_2err_1;10;2;1;0;1;8;52;86;23;
cluster_10ac_2err_1;10;2;1;1;1;0;52;2512;8;
cluster_10ac_2err_1;10;2;1;2;1;6;52;106;20;
cluster_10ac_2err_1;10;2;1;3;1;6;52;81;17;
cluster_10ac_2err_1;10;2;1;4;1;7;52;2512;8;
cluster_10ac_2err_1;10;2;1;3;2;0;52;2512;8;
cluster_10ac_2err_1;10;2;1;4;2;8;52;115;24;
cluster_10ac_2err_1;10;2;1;3;3;1;52;139;25;
cluster_10ac_2err_1;10;2;1;0;4;0;52;2512;8;
cluster_10ac_2err_1;10;2;1;2;4;0;52;2512;8;
cluster_10ac_2err_1;10;2;1;4;4;1;52;2512;8;
cluster_10ac_2err_1;10;2;1;1;5;0;52;2512;8;
cluster_10ac_2err_1;10;2;1;3;5;1;52;75;19;
cluster_10ac_2err_1;10;2;1;4;5;8;52;98;27;
cluster_10ac_2err_1;10;2;1;0;6;8;52;85;20;
cluster_10ac_2err_1;10;2;1;1;6;1;52;81;20;
cluster_10ac_2err_1;10;2;1;3;6;0;52;2512;8;
cluster_10ac_2err_1;10;2;1;0;7;1;52;102;22;
cluster_10ac_2err_1;10;2;1;1;7;1;52;94;18;
cluster_10ac_2err_1;10;2;1;3;7;1;52;66;18;
cluster_10ac_2err_1;10;2;1;0;8;6;52;76;21;
cluster_10ac_2err_1;10;2;1;1;8;0;52;5000;12;
cluster_10ac_2err_1;10;2;1;2;8;0;52;5000;12;
cluster_10ac_2err_1;10;2;1;3;8;9;52;83;22;
cluster_10ac_2err_1;10;2;1;4;8;9;52;131;30;
cluster_10ac_2err_1;10;2;1;0;9;0;52;2512;8;
cluster_10ac_2err_1;10;2;1;3;9;1;52;97;18;
cluster_10ac_2err_1;10;2;1;4;9;8;52;86;20;
cluster_10ac_2err_2;10;2;2;1;0;3;33;38;7;
cluster_10ac_2err_2;10;2;2;2;0;6;33;63;14;
cluster_10ac_2err_2;10;2;2;0;1;6;33;66;12;
cluster_10ac_2err_2;10;2;2;3;1;3;33;40;6;
cluster_10ac_2err_2;10;2;2;4;1;7;33;33;3;
cluster_10ac_2err_2;10;2;2;0;2;8;33;78;14;
cluster_10ac_2err_2;10;2;2;1;2;0;33;59;10;
cluster_10ac_2err_2;10;2;2;2;2;0;33;36;11;
cluster_10ac_2err_2;10;2;2;3;2;5;33;61;10;
cluster_10ac_2err_2;10;2;2;4;2;8;33;71;10;
cluster_10ac_2err_2;10;2;2;0;3;7;33;2520;5;
cluster_10ac_2err_2;10;2;2;1;3;8;33;49;8;
cluster_10ac_2err_2;10;2;2;2;3;4;33;50;7;
cluster_10ac_2err_2;10;2;2;3;3;5;33;40;6;
cluster_10ac_2err_2;10;2;2;4;3;5;33;50;6;
cluster_10ac_2err_2;10;2;2;0;4;6;33;48;7;
cluster_10ac_2err_2;10;2;2;2;4;7;33;49;5;
cluster_10ac_2err_2;10;2;2;3;4;2;33;2551;9;
cluster_10ac_2err_2;10;2;2;4;4;3;33;49;8;
cluster_10ac_2err_2;10;2;2;3;5;3;33;53;7;
cluster_10ac_2err_2;10;2;2;4;5;3;33;55;7;
cluster_10ac_2err_2;10;2;2;0;6;4;33;89;13;
cluster_10ac_2err_2;10;2;2;1;6;4;33;39;7;
cluster_10ac_2err_2;10;2;2;2;6;2;33;2554;13;
cluster_10ac_2err_2;10;2;2;3;6;7;33;75;18;
cluster_10ac_2err_2;10;2;2;4;6;8;33;82;18;
cluster_10ac_2err_2;10;2;2;0;7;3;33;2520;5;
cluster_10ac_2err_2;10;2;2;1;7;6;33;50;12;
cluster_10ac_2err_2;10;2;2;2;7;6;33;72;15;
cluster_10ac_2err_2;10;2;2;3;7;5;33;40;4;
cluster_10ac_2err_2;10;2;2;4;7;6;33;61;15;
cluster_10ac_2err_2;10;2;2;0;8;6;33;105;19;
cluster_10ac_2err_2;10;2;2;1;9;6;33;90;14;
cluster_10ac_2err_2;10;2;2;3;9;2;33;68;14;
cluster_10ac_2err_3;10;2;3;0;0;4;59;126;31;
cluster_10ac_2err_3;10;2;3;1;0;3;59;83;11;
cluster_10ac_2err_3;10;2;3;2;0;4;59;138;32;
cluster_10ac_2err_3;10;2;3;3;0;8;59;76;10;
cluster_10ac_2err_3;10;2;3;4;0;4;59;134;32;
cluster_10ac_2err_3;10;2;3;0;1;2;59;64;5;
cluster_10ac_2err_3;10;2;3;0;2;6;59;86;15;
cluster_10ac_2err_3;10;2;3;1;2;9;59;64;5;
cluster_10ac_2err_3;10;2;3;2;2;6;59;92;15;
cluster_10ac_2err_3;10;2;3;3;2;4;59;2612;25;
cluster_10ac_2err_3;10;2;3;4;2;1;59;92;8;
cluster_10ac_2err_3;10;2;3;0;3;6;59;71;8;
cluster_10ac_2err_3;10;2;3;3;3;4;59;111;19;
cluster_10ac_2err_3;10;2;3;4;3;2;59;59;4;
cluster_10ac_2err_3;10;2;3;0;4;2;59;2631;28;
cluster_10ac_2err_3;10;2;3;1;4;2;59;2623;25;
cluster_10ac_2err_3;10;2;3;2;4;2;59;2647;29;
cluster_10ac_2err_3;10;2;3;3;4;8;59;2614;19;
cluster_10ac_2err_3;10;2;3;4;4;9;59;118;20;
cluster_10ac_2err_3;10;2;3;1;5;0;59;71;10;
cluster_10ac_2err_3;10;2;3;2;5;6;59;97;11;
cluster_10ac_2err_3;10;2;3;3;5;4;59;87;18;
cluster_10ac_2err_3;10;2;3;0;6;8;59;104;16;
cluster_10ac_2err_3;10;2;3;1;6;9;59;101;13;
cluster_10ac_2err_3;10;2;3;2;6;8;59;88;10;
cluster_10ac_2err_3;10;2;3;3;6;7;59;2547;3;
cluster_10ac_2err_3;10;2;3;4;6;5;59;73;9;
cluster_10ac_2err_3;10;2;3;4;7;2;59;104;9;
cluster_10ac_2err_3;10;2;3;2;8;6;59;85;10;
cluster_10ac_2err_3;10;2;3;4;8;4;59;2595;17;
cluster_10ac_2err_3;10;2;3;2;9;4;59;113;21;
cluster_10ac_2err_3;10;2;3;4;9;0;59;87;11;
cluster_10ac_2err_4;10;2;4;1;0;2;78;109;16;
cluster_10ac_2err_4;10;2;4;2;0;2;78;112;16;
cluster_10ac_2err_4;10;2;4;4;0;5;78;2568;16;
cluster_10ac_2err_4;10;2;4;3;1;5;78;2561;16;
cluster_10ac_2err_4;10;2;4;0;2;3;78;2564;9;
cluster_10ac_2err_4;10;2;4;1;2;5;78;2626;37;
cluster_10ac_2err_4;10;2;4;2;2;3;78;2565;9;
cluster_10ac_2err_4;10;2;4;3;2;6;78;140;31;
cluster_10ac_2err_4;10;2;4;4;2;0;78;135;18;
cluster_10ac_2err_4;10;2;4;2;3;6;78;115;16;
cluster_10ac_2err_4;10;2;4;4;3;5;78;2563;16;
cluster_10ac_2err_4;10;2;4;0;5;9;78;2577;17;
cluster_10ac_2err_4;10;2;4;1;5;8;78;2568;16;
cluster_10ac_2err_4;10;2;4;2;5;1;78;2563;16;
cluster_10ac_2err_4;10;2;4;3;5;1;78;2563;16;
cluster_10ac_2err_4;10;2;4;4;5;7;78;5056;9;
cluster_10ac_2err_4;10;2;4;0;6;1;78;104;15;
cluster_10ac_2err_4;10;2;4;1;6;5;78;2572;17;
cluster_10ac_2err_4;10;2;4;2;6;0;78;90;14;
cluster_10ac_2err_4;10;2;4;3;6;3;78;115;16;
cluster_10ac_2err_4;10;2;4;4;6;1;78;106;15;
cluster_10ac_2err_4;10;2;4;0;8;6;78;99;15;
