cluster;nbAircraft;uncertainty;clusterId;iterations;default;CP;SA
cluster_15ac_2err_8;15;2;8;3;15000,0;88,0;173,0;
cluster_15ac_2err_8;15;2;8;4;15000,0;88,0;240,0;
cluster_15ac_2err_9;15;2;9;0;25000,0;182,0;355,0;
cluster_15ac_2err_9;15;2;9;1;25000,0;182,0;352,0;
cluster_15ac_2err_9;15;2;9;2;25000,0;182,0;327,0;
cluster_15ac_2err_9;15;2;9;3;25000,0;182,0;334,0;
cluster_15ac_2err_9;15;2;9;4;25000,0;182,0;393,0;
cluster_15ac_3err_0;15;3;0;0;30000,0;141,0;2720,0;
cluster_15ac_3err_0;15;3;0;1;30000,0;141,0;2741,0;
cluster_15ac_3err_0;15;3;0;2;30000,0;141,0;307,0;
cluster_15ac_3err_0;15;3;0;3;30000,0;141,0;381,0;
cluster_15ac_3err_0;15;3;0;4;30000,0;141,0;2698,0;
cluster_15ac_3err_3;15;3;3;0;22500,0;208,0;424,0;
cluster_15ac_3err_3;15;3;3;1;22500,0;208,0;343,0;
cluster_15ac_3err_3;15;3;3;2;22500,0;208,0;376,0;
cluster_15ac_3err_3;15;3;3;3;22500,0;208,0;321,0;
cluster_15ac_3err_3;15;3;3;4;22500,0;208,0;309,0;
cluster_15ac_3err_4;15;3;4;0;22500,0;135,0;2768,0;
cluster_15ac_3err_4;15;3;4;1;22500,0;135,0;375,0;
cluster_15ac_3err_4;15;3;4;2;22500,0;135,0;203,0;
cluster_15ac_3err_4;15;3;4;3;22500,0;135,0;2639,0;
cluster_15ac_3err_4;15;3;4;4;22500,0;135,0;2746,0;
cluster_15ac_3err_5;15;3;5;0;32500,0;208,0;10272,0;
cluster_15ac_3err_5;15;3;5;1;32500,0;208,0;15192,0;
cluster_15ac_3err_5;15;3;5;2;32500,0;208,0;15311,0;
cluster_15ac_3err_5;15;3;5;3;32500,0;208,0;12801,0;
cluster_15ac_3err_5;15;3;5;4;32500,0;208,0;12721,0;
cluster_15ac_3err_6;15;3;6;0;22500,0;205,0;10124,0;
cluster_15ac_3err_6;15;3;6;1;22500,0;205,0;5255,0;
cluster_15ac_3err_6;15;3;6;2;22500,0;205,0;15126,0;
cluster_15ac_3err_6;15;3;6;3;22500,0;205,0;12616,0;
cluster_15ac_3err_6;15;3;6;4;22500,0;205,0;7683,0;
cluster_15ac_3err_7;15;3;7;0;25000,0;154,0;294,0;
cluster_15ac_3err_7;15;3;7;1;25000,0;154,0;323,0;
cluster_15ac_3err_7;15;3;7;2;25000,0;154,0;2785,0;
cluster_15ac_3err_7;15;3;7;3;25000,0;154,0;268,0;
cluster_15ac_3err_7;15;3;7;4;25000,0;154,0;292,0;
cluster_15ac_3err_8;15;3;8;0;10000,0;55,0;142,0;
cluster_15ac_3err_8;15;3;8;1;10000,0;55,0;253,0;
cluster_15ac_3err_8;15;3;8;2;10000,0;55,0;188,0;
cluster_15ac_3err_8;15;3;8;3;10000,0;55,0;141,0;
